version,interestingApp,status,name,latestUpdate,storeName,releaseDate,providerCategory,healthEntityInvolved,EU,geographicCoverage,continents,appCategory,appFunctionalityCategory,appFunctionality,typesOfPersonalData ,clearPrivacyPolicy 
0.8.1,yes,active,StayHomeSafe,2020-05-15T07:33:18,GooglePlay (Android),"Mar 8, 2020",national government,no,no,HKG,Asia,covid-19 specific,lockdown management; notifications,mobility for citizen in lockdown; sending notifications,location as gps/cell tower data; other,na
1.1.0,yes,active,StopKorona!,2020-05-07T08:12:16,GooglePlay (Android),"Apr 8, 2020",national government,na,no,MKD,Europe,covid-19 specific,contact tracing,proximity tracking; sending notifications; sending instructions,proximity; positive status; other,yes
1,no,active,InNote Assistant,2020-05-06T22:54:26,GooglePlay (Android),"Mar 17, 2020",technology company,no,no,USA,North America,health-generic,expert support;  information exchange; notifications,,,
1,yes,active,CovidWatcher,2020-04-25T21:07:04,GooglePlay (Android),"May 4, 2020",university(ies) or research centre(s),consortium,no,USA,North America,covid-19 specific,information provision; information exchange,statistics; news; symptoms monitoring with data sharing,location as province/region; health status; other,no
Varies with device,no,active,Luscii,2020-05-14T14:34:50,GooglePlay (Android),"Mar 8, 2016",technology company,health facilities,yes,NLD,Europe,covid-19 specific,information exchange; notifications,symptoms monitoring with data sharing; communication with a doctor; sending instructions,,
1.3.1,no,active,COVA Punjab,2020-05-13T19:39:38,GooglePlay (Android),"Mar 7, 2020",local/regional government,no,no,IND,Asia,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
0.2.1,no,active,Homer,2020-05-17T11:11:11,GooglePlay (Android),"Apr 4, 2020",national government,health authority,no,SGP,Asia,health-generic,lockdown management,,,
1.0.0,no,active,Corona Map,2020-03-18T13:10:08,GooglePlay (Android),"Mar 18, 2020",national government,health authority,no,SAU,Asia,covid-19 specific,information provision,,,
1.0.5,no,active,Koronavirus MK,2020-04-02T14:30:00,GooglePlay (Android),"Mar 25, 2020",local/regional government,na,no,MKD,Europe,covid-19 specific,information provision,,,
1.2.0,yes,active,Interactive Clinics,2020-04-17T03:38:30,GooglePlay (Android),"Jun 7, 2018",technology company,no,yes,ESP,Europe,covid-19 influenced,information provision; information exchange,access to health services; symptoms monitoring with data sharing,location as province/region; health status; other,yes
1.0.15-20200515,no,active,DDC-Care,2020-05-15T09:38:53,GooglePlay (Android),"Mar 12, 2020",national government,na,no,THA,Asia,covid-19 specific,personalised support without data sharing; information exchange,,,
1.3.3,yes,active,RC143,2020-04-20T09:43:22,GooglePlay (Android),"Mar 30, 2020",non-profit organization,health authority,no,PHL,Asia,covid-19 specific,notifications; contact tracing,proximity tracking; continuous location sharing; sending instructions,proximity; location as gps/cell tower data; positive status; other,no
1.0.5,no,active,Sức khỏe Việt Nam,2020-04-22T11:02:23,GooglePlay (Android),"Feb 4, 2020",technology company,health facilities,no,VNM,Asia,covid-19 specific,information provision; personalised support without data sharing; information exchange,,,
1.0.4,yes,active,Corona-Warn-App,2020-06-20T14:18:13,GooglePlay (Android),"Jun 12, 2020",university(ies) or research centre(s),health authority,yes,DEU,Europe,covid-19 specific,information provision; contact tracing; notifications,prevention; sending notifications; sending instructions; proximity tracking,proximity; positive status,yes
,yes,active,자가격리자 전담공무원,,GooglePlay (Android),"Mar 5, 2020",national government,health authority,no,KOR,Asia,covid-19 specific,information provision,prevention,positive status; health status,yes
1.0.3,no,active,LaoKYC,2020-05-01T14:55:03,GooglePlay (Android),"Mar 31, 2020",technology company,consortium; health authority,no,LAO,Asia,covid-19 specific,information provision; information exchange; notifications,,,
1.1.0,no,active,ผู้พิทักษ์ไทยชนะ,2020-05-24T19:20:09,GooglePlay (Android),"May 15, 2020",other type of company,health authority,no,THA,Asia,covid-19 specific,information exchange,,,
1,yes,active,SwissCovid,2020-06-05T14:00:55,GooglePlay (Android),"Jun 20, 2020",national government,health authority,no,CHE,Europe,covid-19 specific,contact tracing; notifications,sending notifications; sending instructions; proximity tracking,proximity; health status;  positive status; other,yes
Varies with device,yes,active,Agra Sarvam Setu,2020-05-15T14:03:55,GooglePlay (Android),"Apr 16, 2020",technology company,no,no,IND,Asia,health-generic,information provision; other-health,,,no
2.0.3,no,active,Minutis Mobile,2020-04-24T17:45:32,GooglePlay (Android),"Oct 20, 2018",non-profit organization,consortium,yes,FRA,Europe,health-generic,expert support,,,
1.0.1,no,active,Combate Coronavírus,2020-05-12T18:41:50,GooglePlay (Android),"Apr 8, 2020",non-profit organization,no,no,BRA,South America,covid-19 specific,information provision; information exchange,,,
4120.4.29,no,active,COVID-19,2020-04-29T14:30:59,GooglePlay (Android),"Mar 17, 2020",technology company,health facilities,yes,DEU,Europe,covid-19 specific,expert support; notifications,,,
1.1.965,no,active,RSO – Regionalny System Ostrzegania,2018-07-17T20:59:04,GooglePlay (Android),"Mar 11, 2018",national government,no,yes,POL,Europe,other,other,,,
1.4.1,yes,active,Социальный мониторинг,2020-05-14T14:04:04,GooglePlay (Android),"Apr 22, 2020",local/regional government,no,no,RUS,Europe,covid-19 specific,notifications; lockdown management,sending notifications; mobility for citizen in lockdown,location as gps/cell tower data; other,yes
,no,active,Human Dx,,GooglePlay (Android),"Mar 22, 2018",technology company,no,no,USA,North America,health-generic,expert support,training,,
1.13,no,active,Jharkhand Sahayta,2020-04-29T01:39:46,GooglePlay (Android),"Apr 16, 2020",local/regional government,no,no,IND,Asia,other,other,,,
1,no,active,Care Workforce,2020-04-30T12:30:26,GooglePlay (Android),"May 1, 2020",national government,health authority,no,GBR,Europe,covid-19 specific,information provision; notifications,,,
0.0.10,no,active,GoK Direct - Kerala,2020-03-30T15:13:14,GooglePlay (Android),"Mar 11, 2020",local/regional government,no,no,IND,Asia,covid-19 specific,information provision; lockdown management,,,
1.1.3,no,active,Covid Locator,2020-04-18T11:35:41,GooglePlay (Android),"Apr 2, 2020",national government,no,no,IND,Asia,covid-19 specific,information provision; lockdown management,,,
1.1,no,active,FCT Response,2020-04-21T08:54:48,GooglePlay (Android),"Mar 31, 2020",technology company,consortium,no,NGA,Africa,health-generic,information provision; information exchange; notifications,,location as gps/cell tower data; other,yes
,no,active,myColorado,,GooglePlay (Android),"Jan 2, 2019",local/regional government,health authority,no,USA,North America,covid-19 influenced,other,,,
1.0.2,yes,active,NZ COVID Tracer,2020-05-20T10:36:19,GooglePlay (Android),"May 15, 2020",national government,health authority,no,NZL,Oceania,covid-19 specific,contact tracing,occasional location sharing,proximity; location as province/region; health status; positive status; other,yes
1.6.6,no,active,Personal Health,2020-05-15T13:09:47,GooglePlay (Android),"Mar 24, 2020",health company,consortium,no,BRA,South America,health-generic,information exchange,,health status; other,yes
1.0.17,no,active,Solidarity • სოლიდარობა,2020-04-22T23:36:00,GooglePlay (Android),"Mar 18, 2020",other type of company,no,no,GEO,Europe,covid-19 specific,lockdown management,,,
1.0.3.0,yes,notactive,SAIYAM - Track & Trace Together,2020-04-29T11:34:46,GooglePlay (Android),"Mar 26, 2020",technology company,no,no,IND,Asia,health-generic,other-health,,location as province/region; location as gps/cell tower data; health status; other,yes
1,yes,active,Kencor COVID-19,2020-04-26T20:15:28,GooglePlay (Android),"Apr 13, 2020",health company,consortium,no,USA,North America,covid-19 specific,information exchange,symptoms monitoring with data sharing; communication with a doctor,health status; other,yes
1.5.0,no,active,GCC - Corona Monitoring,2020-04-21T14:33:01,GooglePlay (Android),"Mar 27, 2020",local/regional government,no,no,IND,Asia,covid-19 specific,information provision; information exchange; lockdown management,,,
1,yes,active,NL-SOJO COVID,2020-06-04T18:23:42,GooglePlay (Android),,local/regional government,health facilities,no,IND,Asia,covid-19 specific,information provision; information exchange; notifications; lockdown management,statistics; news; symptoms monitoring with data sharing; risk assessment with data sharing; sending notifications; mobility for citizen in lockdown,location as gps/cell tower data; health status; other,na
1,no,active,Ember Medics,2020-05-14T02:02:18,GooglePlay (Android),"Nov 4, 2018",health company,health facilities,no,USA,North America,health-generic,expert support,,,no
1.4,no,active,Quản lý cách ly,2020-03-13T11:04:02,GooglePlay (Android),"Mar 9, 2020",other type of company,consortium,no,VNM,Asia,health-generic,information exchange; lockdown management,,,
1.5.0,no,active,PIKOBAR Jawa Barat,2020-05-15T07:48:41,GooglePlay (Android),"Mar 16, 2020",local/regional government,health authority,no,IDN,Asia,covid-19 specific,information provision; information exchange,,,
3.3.1,no,active,OpenWHO: Knowledge for Health Emergencies,2020-05-11T08:06:32,GooglePlay (Android),"May 17, 2017",international organisation,health authority,yes,WORLD,WORLD,covid-19 specific, expert support; information provision,,,
,no,active,Your Blue Touch RI,,GooglePlay (Android),"Apr 30, 2019",health company,no,no,USA,North America,health-generic,information provision; other-health,,,
2.2,no,active,CoronaTest Navarra,2020-05-11T20:47:19,GooglePlay (Android),"Apr 4, 2020",local/regional government,health authority,yes,ESP,Europe,covid-19 specific,personalised support without data sharing; information exchange,,,
1.5.21,no,active,Covidom Patient,2020-05-07T09:24:53,GooglePlay (Android),"Mar 10, 2020",health company,health facilities,yes,FRA,Europe,covid-19 specific,expert support; information exchange,,,
,yes,active,TraceTogether,,GooglePlay (Android),"Feb 16, 2020",national government,no,no,SGP,Asia,covid-19 specific,information exchange; contact tracing; notifications,continuous location sharing,proximity; positive status,yes
2.5,yes,active,Care19 Diary,2020-05-08T03:05:42,GooglePlay (Android),"Apr 19, 2020",national government,health authority,no,PRI,North America,covid-19 specific,information provision; information exchange; contact tracing; notifications,statistics; risk assessment with data sharing; continuous location sharing; occasional location sharing; sending notifications; sending instructions,positive status; location as gps/cell tower data,yes
,no,active,Госуслуги СТОП Коронавирус,,GooglePlay (Android),"Mar 27, 2020",local/regional government,health authority,no,RUS,Europe,covid-19 specific,lockdown management,exit management,,
1,no,active,"Medicine: diagnosis, clinical cases, TNM, ICD",2020-05-02T06:36:22,GooglePlay (Android),,technology company,health authority,yes,ESP,Europe,covid-19 specific,expert support,,,
1.0.0,no,active,CAIXA | Auxílio Emergencial,2020-04-07T03:01:33,GooglePlay (Android),"Apr 6, 2020",other type of company,no,no,BRA,South America,other,other,,,
0.0.6,no,active,Haryana Sahayak,2020-04-16T15:53:13,GooglePlay (Android),"Apr 11, 2020",local/regional government,consortium,no,IND,Asia,covid-19 specific,information provision; personalised support without data sharing; information exchange; lockdown management,,,
1,no,active,Телемедицина Югры,2020-05-12T04:09:16,GooglePlay (Android),"Mar 30, 2020",health company,health facilities,no,RUS,Europe,covid-19 influenced,information exchange,,,
1.3,yes,active,Cachoeirinha Contra o Coronavírus,2020-05-14T03:31:20,GooglePlay (Android),"Mar 20, 2020",technology company,consortium,no,BRA,South America,covid-19 specific,information provision; information exchange,statistics; news; self-diagnosis with data sharing; symptoms monitoring with data sharing,health status; other,no
7.0.3,yes,active,EHTERAZ,2020-05-14T16:59:19,GooglePlay (Android),"Apr 25, 2020",national government,health authority,no,QAT,Asia,covid-19 specific,information provision; information exchange; contact tracing; notifications,statistics; prevention; news; symptoms monitoring with data sharing; communication with a doctor; proximity tracking; sending notifications,proximity; location as gps/cell tower data; health status; positive status,na
1.0.36,yes,active,Apturi Covid Latvia – SPKC,2020-05-27T17:37:50,GooglePlay (Android),"May 28, 2020",national government,health authority,yes,LVA,Europe,covid-19 specific,contact tracing,proximity tracking,proximity; health status; other,yes
1.0.7,no,active,COVID19-Libya,2020-04-25T00:33:07,GooglePlay (Android),,other type of company,health facilities,no,LBY,Africa,covid-19 specific,expert support; information provision; information exchange,,,
1.1.0,no,active,Thaichana - ไทยชนะ,2020-05-29T16:48:59,GooglePlay (Android),"May 27, 2020",other type of company,no,no,THA,Asia,health-generic,information provision,,,
,no,active,SulAmérica Saúde,,GooglePlay (Android),"Aug 10, 2012",health company,no,no,BRA,South America,health-generic,information provision; information exchange,,,
1.3.0,yes,active,Smittestopp,2020-06-08T11:02:51,GooglePlay (Android),,national government,health authority,no,NOR,Europe,covid-19 specific,contact tracing,proximity tracking; continuous location sharing; sending notifications; sending instructions,proximity; positive status; location as gps/cell tower data; other,yes
2,no,active,Health Assessment PDMA,2020-05-07T05:08:07,GooglePlay (Android),"Mar 24, 2020",local/regional government,health authority,no,PAK,Asia,covid-19 specific,information exchange,,,
1,no,active,TeleMed2U,2020-05-13T11:58:31,GooglePlay (Android),"Apr 18, 2020",health company,health facilities,no,USA,North America,health-generic,expert support;  information exchange,,,
1.1,no,active,COVID-19 West Bengal Government,2020-04-06T10:33:14,GooglePlay (Android),"Apr 2, 2020",local/regional government,na,no,IND,Asia,covid-19 specific,information provision; personalised support without data sharing; lockdown management; notifications,,,
4.0,no,active,Gandaki Health,2020-04-28T05:12:23,GooglePlay (Android),"Apr 13, 2020",technology company,consortium,no,NPL,Asia,covid-19 specific,information provision,,,
11.2,no,active,Coronapp-HUG,2020-04-23T23:17:58,GooglePlay (Android),"Mar 12, 2020",university(ies) or research centre(s),medicine research institute(s) university(ies),no,CHE,Europe,covid-19 specific,information provision; personalised support without data sharing,,,
1.0.3,yes,active,Ayush Sanjivani,2020-05-17T06:40:17,GooglePlay (Android),"Apr 24, 2020",national government,health authority,no,IND,Asia,covid-19 specific,information provision; information exchange; expert support,prevention; symptoms monitoring with data sharing,health status; positive status; other,no
,no,active,Credencial Digital OSDE,,GooglePlay (Android),"Dec 4, 2019",health company,,no,ARG,South America,health-generic,other-health,,,
1.0.15,no,active,LAZIOdrCovid,2020-05-09T11:15:10,GooglePlay (Android),"Mar 16, 2020",local/regional government,health facilities,yes,ITA,Europe,covid-19 specific,information provision; information exchange,,,
1,yes,active,StopCovid France,2020-06-05T11:04:27,GooglePlay (Android),"May 29, 2020",national government,health authority,yes,FRA,Europe,covid-19 specific,contact tracing; notifications,sending notifications; sending instructions; proximity tracking,location as province/region; proximity; health status; positive status; other,yes
1.1,no,active,COVID19 - DXB Responder,2020-05-10T07:02:15,GooglePlay (Android),"Apr 6, 2020",national government,health authority,no,ARE,Asia,covid-19 specific,expert support; information provision; notifications,,,
1,no,active,Doktuz,2020-06-05T22:18:45,GooglePlay (Android),"Nov 23, 2015",health company,health facilities,no,PER,South America,health-generic,information provision; information exchange,prevention; news; communication with a doctor,,
1.17.0,no,active,BC COVID-19 Support,2020-05-15T21:18:54,GooglePlay (Android),"Mar 21, 2020",local/regional government,health authority,no,CAN,North America,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
1.0.1,yes,active,ABTraceTogether,2020-05-07T22:24:36,GooglePlay (Android),"Apr 30, 2020",local/regional government,health authority,no,CAN,North America,covid-19 specific,contact tracing; notifications,proximity tracking; sending notifications; sending instructions,proximity; positive status,yes
Varies with device,yes,active,Shlonik - شلونك,2020-05-11T01:01:39,GooglePlay (Android),"Apr 9, 2020",national government,health authority,no,KWT,Asia,covid-19 specific,information provision; information exchange; lockdown management; notifications,prevention; news; symptoms monitoring with data sharing; communication with a doctor; mobility for citizen in lockdown,health status; proximity; location as gps/cell tower data,na
1.2.5,no,active,Ceļo Droši,2019-12-11T19:59:09,GooglePlay (Android),"Jan 13, 2016",national government,no,yes,LVA,Europe,health-generic,information provision; personalised support without data sharing,,,
0.10.1,no,active,StaySafe PH,2020-05-15T15:19:09,GooglePlay (Android),"May 5, 2020",national government,health authority,no,PHL,Asia,covid-19 specific,personalised support without data sharing,,,
1.0.2,yes,notactive,COVID CARE,2020-04-07T06:34:01,GooglePlay (Android),"Apr 5, 2020",technology company,no,no,IND,Asia,covid-19 specific,contact tracing; lockdown management,occasional location sharing; mobility checking,location as province/region; location as gps/cell tower data; other,no
1.0.3,no,notactive,KSP Clear Pass Checker,2020-04-21T09:39:06,GooglePlay (Android),"Mar 27, 2020",technology company,no,no,IND,Asia,covid-19 specific,lockdown management,exit management,,
1,no,notactive,Saúde - Osasco,2020-05-12T00:15:56,GooglePlay (Android),"Apr 6, 2020",local/regional government,health facilities,no,BRA,South America,covid-19 specific,information exchange,symptoms monitoring with data sharing; communication with a doctor,,
1.10.2,yes,active,NMC COVID-19,2020-04-21T10:54:15,GooglePlay (Android),"Apr 10, 2020",technology company,consortium; health authority,no,IND,Asia,covid-19 specific,information provision; contact tracing,news; occasional location sharing,,no
1,no,active,Sahaaya Setuve,2020-05-05T18:29:08,GooglePlay (Android),"Apr 10, 2020",local/regional government,no,no,IND,Asia,covid-19 influenced,expert support;  information exchange,,,
1.2,no,active,Testeate MGP,2020-04-30T22:27:05,GooglePlay (Android),"Mar 23, 2020",local/regional government,health authority,no,ARG,South America,covid-19 specific,information provision,,,
,no,active,Conecte SUS,,GooglePlay (Android),"Aug 26, 2015",national government,health authority,no,BRA,South America,covid-19 influenced,information provision,,,
1.0.15,yes,active,COVID-19 Provincia de Santa Fe,2020-04-24T15:58:20,GooglePlay (Android),"Apr 12, 2020",local/regional government,na,no,ARG,South America,covid-19 specific,information provision; information exchange; lockdown management,news; statistics; prevention; risk assessment with data sharing; manage self-isolation,location as province/region; health status; other,no
4.1.1,yes,active,ProteGO Safe,2020-06-08T17:06:39,GooglePlay (Android),"Apr 17, 2020",national government,health authority,yes,POL,Europe,covid-19 specific,information provision; information exchange; contact tracing; notifications,statistics; prevention; medication; news; symptoms monitoring with data sharing; risk assessment with data sharing; communication with a doctor; proximity tracking; sending notifications; sending instructions,proximity; health status; positive status; other,yes
1.0,no,active,Quarantine Watch,2020-05-15T17:23:26,GooglePlay (Android),"Mar 28, 2020",local/regional government,no,no,IND,Asia,covid-19 specific,lockdown management,,,
,no,notactive,Covid19 ZostanZdravy,,GooglePlay (Android),"Apr 15, 2020",national government,health authority,yes,SVK,Europe,covid-19 specific,information exchange,risk assessment with data sharing,,
,no,active,COVID-19,,GooglePlay (Android),"Mar 11, 2020",non-profit organization,no,yes,DEU,Europe,covid-19 specific,information provision,news,,
1.0.2,no,active,STOP COVID19 CAT,2020-04-02T11:10:54,GooglePlay (Android),"Mar 18, 2020",local/regional government,health authority,yes,ESP,Europe,covid-19 specific,information provision; personalised support without data sharing; information exchange,,,
1.0.9,yes,active,SMC COVID-19 Tracker,2020-04-22T05:38:51,GooglePlay (Android),"Apr 3, 2020",local/regional government,no,no,IND,Asia,covid-19 specific,information exchange; notifications; contact tracing; lockdown management,symptoms monitoring with data sharing; sending instructions; occasional location sharing; mobility for citizen in lockdown,positive status; health status; location as gps/cell tower data; other,na
,no,active,OPCG,,GooglePlay (Android),,health company,health authority,no,CAN,North America,health-generic,information provision,,,
1,no,active,MUSC COVID-19 Vital Link,2020-04-24T21:50:10,GooglePlay (Android),"Mar 19, 2020",university(ies) or research centre(s),medicine research institute(s) university(ies),no,USA,North America,covid-19 specific, information exchange,,,
3.1,no,notactive,코로나19 경남,2020-04-08T00:52:10,GooglePlay (Android),"Mar 5, 2020",community,no,no,KOR,Asia,covid-19 specific,information provision,,,
1.0.10,yes,active,CoronaMadrid,2020-05-07T07:44:40,GooglePlay (Android),"Mar 23, 2020",local/regional government,health authority,yes,ESP,Europe,covid-19 specific,information provision; information exchange;  notifications,access to health services; risk assessment with data sharing; sending notifications; sending instructions,health status; proximity; gpsoptional; other,na
1.2,no,active,COVAPP,2020-04-07T14:07:21,GooglePlay (Android),"Mar 23, 2020",local/regional government,consortium; health authority,no,MEX,North America,covid-19 specific,personalised support without data sharing,,,
1.2.2,no,active,Salud Cochabamba,2020-06-26T02:07:38,GooglePlay (Android),"May 26, 2020",local/regional government,health authority,no,BOL,South America,covid-19 specific,expert support; information exchange,manage test; telemedicine; symptoms monitoring with data sharing; risk assessment with data sharing; communication with a doctor,health status; positive status,
1.7.1,yes,active,Mahakavach,2020-05-08T17:48:30,GooglePlay (Android),"Mar 21, 2020",local/regional government,health authority,no,IND,Asia,covid-19 specific,contact tracing; lockdown management,risk assessment without data sharing; manage self-isolation ,positive status; location as gps/cell tower data; other,yes
1,no,active,Obvio-19,2020-05-01T15:11:13,GooglePlay (Android),"Apr 3, 2020",health company,no,no,USA,North America,covid-19 specific, information exchange,,,
0.11.0,yes,active,SafeEntry (Business),2020-05-30T17:30:15,GooglePlay (Android),"May 11, 2020",national government,na,no,SGP,Asia,covid-19 specific,contact tracing; notifications,occasional location sharing; proximity tracking; sending notifications; sending instructions,location as gps/cell tower data; other,no
1.15.0,yes,active,MyHealth Sri Lanka,2020-04-16T19:02:50,GooglePlay (Android),"Mar 16, 2020",national government,health authority,no,LKA,Asia,covid-19 specific,information provision; contact tracing; notifications,news; statistics;  continuous location sharing; sending notifications; sending instructions,positive status; location as gps/cell tower data,no
1.4,no,active,Budapest Tizenöt,2020-05-11T17:00:53,GooglePlay (Android),"Apr 12, 2020",technology company,no,yes,HUN,Europe,health-generic,expert support,,,
1,no,active,SESA Monitoramento,2020-04-09T18:32:59,GooglePlay (Android),"Mar 23, 2020",local/regional government,health facilities,no,BRA,South America,covid-19 specific,expert support,,,
1,yes,active,Mediktor,2020-04-27T10:58:23,GooglePlay (Android),"Jan 17, 2014",health company,health facilities,no,BRA,South America,covid-19 specific,information provision; information exchange; expert support,telemedicine; symptoms monitoring with data sharing; risk assessment with data sharing; communication with a doctor,health status; other,no
2.4,no,active,news.gov.hk 香港政府新聞網,2020-05-11T07:14:27,GooglePlay (Android),"Feb 20, 2013",national government,na,no,HKG,Asia,other,other,,,
,no,active,Pakistan's National Action Plan for COVID-19,,GooglePlay (Android),"Feb 18, 2020",national government,no,no,PAK,Asia,covid-19 specific,information provision,prevention,,
9.0,no,active,nCOVID-19 Nagaland - Visitors App,2020-05-12T12:56:40,GooglePlay (Android),"Mar 23, 2020",non-profit organization,no,no,IND,Asia,covid-19 specific,lockdown management,,,
0.0.2,yes,active,Lumbini Cultural Municipality - Disaster/Covid-19,2020-04-25T08:05:35,GooglePlay (Android),"Apr 25, 2020",technology company,no,no,NPL,Asia,covid-19 specific,information provision; lockdown management,statistics; news; mobility checking,location as gps/cell tower data; other,no
1.3.8,yes,active,המגן 2 - האפליקציה הלאומית למלחמה בנגיף הקורונה,2020-05-07T13:35:04,GooglePlay (Android),"Mar 22, 2020",national government,health authority,no,ISR,Asia,covid-19 specific,notifications; contact tracing,continuous location sharing; sending notifications,location as gps/cell tower data; positive status,no
,no,active,São Francisco Clientes,,GooglePlay (Android),"Jul 29, 2015",health company,health authority,no,BRA,South America,health-generic,other-health,,,
2.2,yes,notactive,DOH  GP RCP,2020-05-16T10:11:56,GooglePlay (Android),"Mar 19, 2020",national government,health authority,no,ARE,Asia,health-generic,expert support; information exchange,telemedicine; symptoms monitoring with data sharing; communication with a doctor,health status; other,no
1,no,notactive,PreMedicus® ER: Your Personalized Health Assistant,2020-04-18T14:42:29,GooglePlay (Android),"Apr 22, 2020",health company,no,no,USA,North America,health-generic, information exchange; expert support,,,
1,yes,active,COVID PUEBLA,2020-04-13T21:15:00,GooglePlay (Android),"Mar 24, 2020",local/regional government,health authority,no,MEX,North America,covid-19 specific,information exchange; expert support,telemedicine; symptoms monitoring with data sharing; risk assessment with data sharing,location as province/region; location as gps/cell tower data; health status; other,no
2,no,active,COVID Control - A Johns Hopkins University Study,2020-05-10T18:17:05,GooglePlay (Android),"Apr 16, 2020",university(ies) or research centre(s),medicine research institute(s) university(ies),no,USA,North America,covid-19 specific,"information provision;
information exchange",,,
1.5,no,active,COVI,2020-05-17T12:05:39,GooglePlay (Android),"Mar 14, 2020",technology company,health authority,no,QAT,Asia,covid-19 specific,information provision; personalised support without data sharing; information exchange; notifications,,,
1.1.8,no,active,Lasante - Seychelles Coronavirus Tool,2020-04-24T10:24:44,GooglePlay (Android),"Apr 23, 2020",health company,health facilities,no,SYC,Africa,covid-19 specific,information provision; information exchange; personalised support without data sharing; expert support; notifications,,,
2,no,active,CoronaISH,2020-04-11T07:26:24,GooglePlay (Android),"Mar 13, 2020",local/regional government,na,no,PER,South America,covid-19 specific,information provision,,,
1.4,no,active,COVID-19 Andhra Pradesh,2020-05-17T12:34:54,GooglePlay (Android),"Apr 25, 2020",national government,health authority,no,IND,Asia,covid-19 specific,information provision; notifications,,,
,yes,active,Bolivia Segura,,GooglePlay (Android),"Mar 12, 2020",national government,no,no,BOL,South America,covid-19 specific,information exchange,symptoms monitoring with data sharing,,na
1.0.3,no,active,Coronavirus Algérie,2020-03-23T08:40:57,GooglePlay (Android),"Mar 20, 2020",national government,health authority,no,DZA,Africa,covid-19 specific,information exchange; notifications; lockdown management,,,
1,no,notactive,Estamos ON - Covid19,2020-04-13T04:09:52,GooglePlay (Android),"Mar 27, 2020",national government,consortium,yes,PRT,Europe,covid-19 specific,information provision; lockdown management,continuous location sharing,,
1,no,active,Odisha COVID Dashboard,2020-05-12T13:49:55,GooglePlay (Android),"Mar 30, 2020",local/regional government,na,no,IND,Asia,covid-19 specific,information provision,,,
2.0.3,yes,active,PeduliLindungi,2020-04-30T03:28:48,GooglePlay (Android),"Mar 28, 2020",national government,health authority; health facilities,no,IDN,Asia,covid-19 specific,information exchange; contact tracing,communication with a doctor; proximity tracking,proximity; location as gps/cell tower data; positive status,na
1,yes,active,#BeatCovid19Now,2020-06-03T10:33:07,GooglePlay (Android),"May 5, 2020",university(ies) or research centre(s),medicine research institute(s) university(ies),no,AUS,Oceania,covid-19 specific,information exchange,symptoms monitoring with data sharing; risk assessment with data sharing,location as province/region; health status; other,no
2.1.4,no,active,VNPT Health,2020-04-03T02:44:12,GooglePlay (Android),"Oct 10, 2018",other type of company,health facilities,no,VNM,Asia,health-generic,expert support; information exchange,,,
1,no,active,COVID Radar,2020-04-19T07:00:00,GooglePlay (Android),"Mar 27, 2020",university(ies) or research centre(s),consortium,yes,NLD,Europe,covid-19 specific,information exchange,,,
1.0.12,yes,notactive,PerúEnTusManos – Detén el avance del COVID19,2020-05-09T18:32:39,GooglePlay (Android),"Apr 1, 2020",national government,health authority,no,PER,South America,covid-19 specific,information provision; information exchange; notifications; contact tracing,statistics; news; symptoms monitoring with data sharing; sending notifications; sending instructions; proximity tracking; continuous location sharing,proximity; location as gps/cell tower data; health status,no
1,no,active,EndCorona,2020-05-01T00:20:13,GooglePlay (Android),,university(ies) or research centre(s),medicine research institute(s) university(ies),no,IDN,Asia,covid-19 specific,information provision,,,
,no,active,Здоровье.ру — забота о здоровье,,GooglePlay (Android),,technology company,no,no,RUS,Europe,covid-19 influenced,information provision; information exchange; expert support,,,
4.0,yes,notactive,Sicilia Si Cura,2020-04-28T11:14:44,GooglePlay (Android),"Mar 27, 2020",technology company,no,yes,ITA,Europe,covid-19 specific,information exchange; lockdown management,self-diagnosis with data sharing; mobility for citizen in lockdown,location as gps/cell tower data; health status; other,yes
1,no,active,SaludZac,2020-05-12T17:58:43,GooglePlay (Android),,local/regional government,health facilities,no,MEX,North America,health-generic,information provision; information exchange; personalised support without data sharing; expert support,,,
1,no,active,Internal Medicine Exam Prep,2020-04-19T15:28:08,GooglePlay (Android),"Nov 21, 2019",technology company,medicine research institute(s) university(ies),no,USA,North America,other,other,,,
1,no,active,Austin 311,2020-05-04T13:41:48,GooglePlay (Android),"Jul 28, 2014",local/regional government,na,no,USA,North America,other,other; information provision,,,
,yes,active,COVID-19.eus,,GooglePlay (Android),"Mar 27, 2020",other type of company,health authority,yes,ESP,Europe,covid-19 specific,information provision; information exchange; notifications; contact tracing,self-diagnosis with data sharing; occasional location sharing,health status; location as province/region,yes
3.6,yes,active,liveClinic MyRecords,2020-04-11T13:58:21,GooglePlay (Android),"Jul 24, 2018",health company,health facilities,no,USA,North America,covid-19 influenced,information exchange; expert support,symptoms monitoring with data sharing; telemedicine; communication with a doctor,health status,yes
,yes,active,Healthy Together - COVID-19,,GooglePlay (Android),"Apr 21, 2020",local/regional government,no,no,USA,North America,covid-19 specific,information provision; contact tracing; notifications,self-diagnosis without data sharing; continuous location sharing,location as gps/cell tower data; health status,yes
,no,active,자가격리자 안전보호,,GooglePlay (Android),"Mar 5, 2020",national government,no,no,KOR,Asia,covid-19 specific,information provision,self-diagnosis without data sharing; news,,
